GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
200906100003,2009-06-10,"United States","Washington","Anti-Semitic extremists",1,,,,,1,Unknown,Business,,,North America,Armed Assault,,,Firearms,,,
200906010028,2009-06-01,"United States","Little Rock","Jihadi-inspired extremists",0,,,,,1,1,Military,,,North America,Armed Assault,,,Firearms,,,
200905310017,2009-05-31,"United States","Wichita","Anti-Abortion extremists",0,,,,,1,0,Abortion Related,,,North America,Armed Assault,,,Firearms,,,
200905300002,2009-05-30,"United States","Arivaca","Minutemen American Defense",0,,,,,2,1,Private Citizens & Property,,,North America,Armed Assault,,,Firearms,,,
200903070010,2009-03-07,"United States","Los Angeles","Animal Liberation Front (ALF)",0,,,,,0,0,Educational Institution,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200901100020,2009-01-10,"Canada","Edmonton","Unknown",0,,,,,0,0,Private Citizens & Property,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200901040012,2009-01-04,"Canada","Tomslake","Unknown",0,,,,,0,0,Utilities,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200811140015,2008-11-14,"United States","Hemet","Neo-Nazi extremists",0,,,,,0,1,Unknown,,,North America,Unarmed Assault,,,Melee,,,
200811050008,2008-11-05,"United States","Springfield","Unknown",0,,,,,0,2,Religious Figures/Institutions,,,North America,Facility/Infrastructure Attack,,,Incendiary,,,
200810310015,2008-10-31,"Canada","Tomslake","Unknown",0,,,,,0,0,Utilities,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200810160007,2008-10-16,"Canada","Tomslake","Unknown",0,,,,,0,0,Utilities,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200810110014,2008-10-11,"Mexico","Monterrey","Unknown",0,,,,,0,0,Government (Diplomatic),,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200810110010,2008-10-11,"Canada","Tomslake","Unknown",0,,,,,0,0,Utilities,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
200809150001,2008-09-15,"Mexico","Morelia","Gulf Cartel",0,,,,,8,101,Private Citizens & Property,Police,Private Citizens & Property,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,Explosives/Bombs/Dynamite,,
200808080009,2008-08-08,"Canada","Calgary","Unknown",0,,,,,0,1,Private Citizens & Property,,,North America,Unarmed Assault,,,Melee,,,
